epoch,total_loss
1,0.046193
2,0.035434
3,0.031435
4,0.029318
5,0.027921
6,0.026982
7,0.026132
8,0.025824
9,0.025082
10,0.024575
11,0.024326
12,0.023761
13,0.023320
14,0.023002
15,0.022778
16,0.022322
17,0.022006
18,0.021735
19,0.021496
20,0.021204
21,0.020881
22,0.020635
23,0.020413
24,0.020163
25,0.019932
26,0.019752
27,0.019567
28,0.019439
29,0.019203
30,0.019056
31,0.018978
32,0.018742
33,0.018608
34,0.018400
35,0.018100
36,0.017871
37,0.017741
38,0.017673
39,0.017466
40,0.017493
41,0.017230
42,0.016977
43,0.016763
44,0.016606
45,0.016493
46,0.016346
47,0.016121
48,0.015999
49,0.015824
50,0.015716
51,0.015553
52,0.015389
53,0.015248
54,0.015116
55,0.014974
56,0.014831
57,0.014707
58,0.014594
59,0.014630
60,0.014547
61,0.014374
62,0.014475
63,0.014473
64,0.014314
65,0.014080
66,0.013937
67,0.013827
68,0.013944
69,0.013767
70,0.013550
71,0.013431
72,0.013309
73,0.013207
74,0.013076
75,0.012969
76,0.012871
77,0.012795
78,0.012693
79,0.012600
80,0.012521
81,0.012423
82,0.012331
83,0.012260
84,0.012158
85,0.012094
86,0.012024
87,0.011933
88,0.011858
89,0.011770
90,0.011742
91,0.011656
92,0.011575
93,0.011501
94,0.011442
95,0.011369
96,0.011297
97,0.011228
98,0.011174
99,0.011107
100,0.011041
101,0.010948
102,0.010888
103,0.010828
104,0.010763
105,0.010705
106,0.010657
107,0.010717
108,0.010826
109,0.010642
110,0.010538
111,0.010474
112,0.010405
113,0.010312
114,0.010258
115,0.010222
116,0.010146
117,0.010095
118,0.010040
119,0.009982
120,0.009933
121,0.009890
122,0.009837
123,0.009783
124,0.009746
125,0.009687
126,0.009649
127,0.009593
128,0.009537
129,0.009494
130,0.009449
131,0.009421
132,0.009390
133,0.009339
134,0.009293
135,0.009247
136,0.009210
137,0.009178
138,0.009134
139,0.009106
140,0.009067
141,0.009025
142,0.008991
143,0.008959
144,0.008920
145,0.008889
146,0.008877
147,0.008847
148,0.008806
149,0.008776
150,0.008746
