epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1127.67,1.3019,2.60216,1.3152,0.45097,0.33061,0.31964,0.20409,1.3572,2.04736,1.38689,0.00999874,0.00333291,0.00999874,0.00333291,0.00999874,0.00333291,0.00999874,0.00333291
2,2079.26,1.44065,2.29023,1.43186,0.43019,0.31376,0.3118,0.19986,1.35155,2.01031,1.38694,0.0198667,0.00662225,0.0198667,0.00662225,0.0198667,0.00662225,0.0198667,0.00662225
3,2988.51,1.50571,2.27249,1.49493,0.47108,0.30468,0.31538,0.20491,1.34965,1.9422,1.39977,0.0296028,0.00986758,0.0296028,0.00986758,0.0296028,0.00986758,0.0296028,0.00986758
4,3873.08,1.48873,2.18031,1.49031,0.49344,0.32746,0.34637,0.23058,1.3099,1.83689,1.37054,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,4762.03,1.4319,2.02436,1.44658,0.53108,0.34603,0.37155,0.24992,1.28192,1.75037,1.35013,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,5646.27,1.40222,1.93839,1.42284,0.53225,0.35628,0.3817,0.25934,1.27014,1.71023,1.34065,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
